NIM,Nilai
220101001,85.5
220101002,90.0
220101003,67.2
220101004,78.4
220101005,92.1
220101006,73.8
220101007,88.6
220101008,69.5
220101009,95.0
220101010,81.3
220101011,76.0
220101012,84.7
220101013,91.2
220101014,62.4
220101015,70.8
220101016,86.9
220101017,79.1
220101018,93.5
220101019,65.7
220101020,74.2
220101021,89.8
220101022,82.6
220101023,77.5
220101024,96.3
220101025,68.9
220101026,83.4
220101027,71.6
220101028,87.0
220101029,94.8
220101030,80.5
220101031,75.3
220101032,66.1
220101033,88.0
220101034,91.7
220101035,72.9
220101036,85.2
220101037,79.8
220101038,63.5
220101039,97.1
220101040,82.0
220101041,69.9
220101042,90.6
220101043,73.1
220101044,86.4
220101045,78.7
220101046,84.0
220101047,92.9
220101048,70.2
220101049,81.8
220101050,76.6
220101051,88.9
220101052,64.8
220101053,93.0
220101054,83.9
220101055,77.2
220101056,95.6
220101057,68.4
220101058,74.9
220101059,87.7
220101060,80.1
220101061,72.3
220101062,89.1
220101063,91.9
220101064,66.8
220101065,75.7
220101066,84.5
220101067,79.4
220101068,97.8
220101069,62.9
220101070,71.1
220101071,86.1
220101072,82.8
220101073,90.3
220101074,69.1
220101075,78.0
220101076,94.2
220101077,73.6
220101078,85.8
220101079,80.9
220101080,67.6
220101081,92.4
220101082,76.9
220101083,88.3
220101084,70.5
220101085,83.1
220101086,96.9
220101087,64.2
220101088,74.5
220101089,89.6
220101090,81.0
220101091,77.8
220101092,93.8
220101093,68.0
220101094,72.6
220101095,86.7
220101096,79.9
220101097,91.0
220101098,65.3
220101099,84.9
220101100,98.5
